,Gender2,Gender3,CountC,CountV,Start,End,start_letter,end_letter,plu_pattern,aug_vowel,source,derived_cat,semantic_cat,human,animate,semantic,sexgen
478,Masculine,Neutral,3,2,1,0,ħ,i,Mixed,A,Arabic-Assimilated,Underived,,N,Y,Emotion,NonSpec
479,Masculine,Masculine,3,2,1,1,s,r,No Plural,A,Native,Instrumental Nouns,,N,N,Agriculture & Vegetation,
480,Masculine,Neutral,4,2,1,0,m,u,Internal,A,Native,Agentives,,Y,Y,Possession & Trade,NonSpec
481,Masculine,Masculine,3,1,1,1,r,z,External,A,Native,Underived,,Y,Y,Mankind,Male
482,Masculine,Neutral,6,2,1,1,s,r,External,A,Native,Underived,,Y,Y,Social Relations,NonSpec
483,Masculine,Neutral,3,2,1,1,m,ʁ,External,A,Native,Underived,,Y,Y,Social Relations,NonSpec
484,Feminine,Feminine,3,2,1,0,ħ,u,No Plural,A,Native,Underived,,N,N,Body Parts & Functions,
485,Feminine,Feminine,3,2,1,1,m,r,External,A,Native,Underived,1-AUG,N,N,Agriculture & Vegetation,
486,Masculine,Masculine,3,1,1,1,ħ,ʃ,Internal,A,Native,Underived,5-DIM,N,N,Dwellings & Furniture,
487,Masculine,Neutral,4,1,1,1,m,ʃ,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
488,Masculine,Masculine,3,1,1,1,ʃ,d,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
489,Masculine,Neutral,3,2,1,1,k,m,Mixed,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
490,Masculine,Masculine,3,1,1,1,k,m,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
491,Masculine,Neutral,4,1,1,1,n,r,External,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
492,Feminine,Feminine,5,0,1,1,s,d,Internal,A,Native,Instrumental Nouns,1-AUG,N,N,Physical Acts & Materials,
493,Masculine,Masculine,3,0,1,1,g,s,No Plural,A,Native,Underived,,N,N,Spatial Relations,
494,Feminine,Feminine,4,1,1,1,r,f,No Plural,A,Native,Underived,,N,N,Motion & Transportation,
495,Masculine,Masculine,3,1,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Agriculture & Vegetation,
496,Masculine,Neutral,4,2,1,0,s,i,Mixed,A,Arabic-Assimilated,Abnakliy,,Y,Y,Social Relations,NonSpec
497,Masculine,Masculine,3,1,1,0,ħ,u,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
498,Masculine,Masculine,3,2,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Agriculture & Vegetation,
499,Masculine,Masculine,4,1,1,1,ħ,d,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Emotion,NonSpec
500,Masculine,Neutral,4,1,1,1,m,d,External,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
501,Masculine,Neutral,3,1,1,1,w,ʁ,External,A,Native,Agentives,,N,Y,Sense Perception,NonSpec
502,Masculine,Masculine,4,1,1,1,q,r,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Language & Music,NonSpec
503,Masculine,Masculine,3,1,1,1,g,z,External,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
504,Feminine,Feminine,5,2,1,1,m,j,External,A,Native,Instrumental Nouns,,N,N,Language & Music,
505,Masculine,Masculine,4,2,1,0,z,u,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
506,Masculine,Neutral,4,1,1,1,n,ħ,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
507,Masculine,Neutral,4,1,1,1,m,z,External,A,Native,Agentives,,Y,Y,Agriculture & Vegetation,NonSpec
508,Masculine,Neutral,4,1,1,1,m,n,Internal,A,Native,Agentives,,Y,Y,Emotion,NonSpec
509,Masculine,Masculine,3,1,1,1,k,j,No Plural,A,Native,Underived,,N,N,Food & Drink,
510,Masculine,Masculine,4,2,1,1,m,j,External,A,Native,Underived,,N,N,Emotion,
511,Masculine,Masculine,3,1,1,1,s,l,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Clothing & Adornment,
512,Masculine,Neutral,3,1,1,1,q,l,External,A,Native,Underived,,N,Y,Animals,NonSpec
513,Masculine,Masculine,3,1,1,0,m,a,Mixed,A,Native,Underived,,N,N,Body Parts & Functions,
514,Masculine,Masculine,4,2,1,0,h,u,No Plural,A,Native,Action Nouns,,N,N,Emotion,
515,Masculine,Masculine,2,2,1,0,l,i,No Plural,A,Native,Underived,,N,N,Agriculture & Vegetation,
516,Feminine,Feminine,3,1,1,0,m,a,Mixed,A,Native,Agentives,,Y,Y,Clothing & Adornment,Female
517,Masculine,Masculine,5,0,1,1,s,d,Internal,A,Native,Agentives,,N,N,Clothing & Adornment,
518,Feminine,Feminine,2,1,1,0,b,a,Mixed,A,Native,Underived,,N,N,Language & Music,
519,Masculine,Masculine,3,0,1,1,n,r,Mixed,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
520,Masculine,Masculine,4,0,1,1,s,f,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Physical Acts & Materials,
521,Masculine,Masculine,3,1,1,1,s,r,External,A,Native,Underived,5-DIM,N,N,Social Relations,
522,Masculine,Masculine,3,1,1,1,s,s,Internal,A,Native,Underived,5-DIM,N,N,Social Relations,
523,Masculine,Masculine,4,1,1,1,g,m,External,A,Native,Underived,,N,Y,Animals,NonSpec
524,Masculine,Neutral,5,2,1,1,ħ,j,External,A,Native,Underived,,N,Y,Sense Perception,NonSpec
525,Masculine,Neutral,5,2,1,0,ʁ,u,Internal,A,Native,Azddayru,,Y,Y,Spatial Relations,NonSpec
526,Masculine,Masculine,4,1,1,1,ʃ,q,External,A,Native,Underived,,N,N,Physical Acts & Materials,
527,Masculine,Masculine,4,1,1,1,h,z,External,A,Native,Underived,,N,N,Physical Acts & Materials,
528,Masculine,Masculine,3,1,1,0,ʁ,a,Mixed,A,Native,Underived,5-DIM,N,N,Food & Drink,
529,Masculine,Masculine,3,1,1,1,s,m,Internal,A,Native,Instrumental Nouns,,N,N,Food & Drink,
530,Masculine,Masculine,4,0,1,1,s,s,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Food & Drink,
531,Masculine,Neutral,3,1,1,1,z,l,No Plural,A,Native,Action Nouns,,N,Y,Body Parts & Functions,NonSpec
532,Masculine,Neutral,4,1,1,1,k,j,External,A,Native,Agentives,,Y,Y,Possession & Trade,NonSpec
533,Masculine,Masculine,2,1,1,1,z,l,No Plural,A,Native,Underived,,N,N,Sense Perception,
534,Masculine,Neutral,5,0,1,1,m,r,External,A,Arabic-Assimilated,Underived,,Y,Y,Social Relations,NonSpec
535,Masculine,Neutral,4,1,1,1,b,j,External,A,Arabic-Assimilated,Agentives,,Y,Y,Physical Acts & Materials,NonSpec
536,Masculine,Masculine,4,1,1,1,n,f,Internal,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Spatial Relations,NonSpec
537,Masculine,Neutral,4,2,1,0,m,u,Internal,A,Native,Agentives,,Y,Y,Spatial Relations,NonSpec
538,Masculine,Masculine,2,1,1,1,f,s,Mixed,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
539,Masculine,Masculine,5,1,1,1,k,d,External,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
540,Masculine,Neutral,5,0,1,1,m,r,External,A,Native,Agentives,,Y,Y,Emotion,NonSpec
541,Masculine,Masculine,3,2,1,1,m,n,Internal,A,Native,Agentives,5-POLY,Y,Y,Body Parts & Functions,NonSpec
542,Masculine,Masculine,4,2,1,0,d,u,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
543,Masculine,Masculine,3,1,1,1,k,r,No Plural,A,Native,Underived,,N,N,Clothing & Adornment,
544,Feminine,Feminine,3,2,1,0,s,u,No Plural,A,Native,Action Nouns,,N,N,Animals,
545,Masculine,Masculine,3,1,1,0,s,i,Internal,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
546,Feminine,Feminine,3,2,1,0,d,i,No Plural,A,Arabic-Assimilated,Action Nouns,,N,N,Emotion,
547,Masculine,Masculine,4,2,1,1,g,l,External,A,Native,Underived,,N,N,Physical World,
548,Feminine,Feminine,2,2,1,0,w,a,No Plural,A,Native,Underived,,N,N,Motion & Transportation,
549,Masculine,Masculine,4,0,1,1,s,l,Internal,A,Native,Underived,5-DIM,N,N,Motion & Transportation,
550,Masculine,Neutral,4,1,1,1,m,z,External,A,Native,Agentives,,Y,Y,Motion & Transportation,NonSpec
551,Feminine,Feminine,3,1,1,0,m,a,Mixed,A,Native,Underived,,N,N,Mankind,
552,Masculine,Neutral,3,1,1,0,b,i,Mixed,A,Arabic-Assimilated,Agentives,,Y,Y,Motion & Transportation,NonSpec
553,Masculine,Masculine,3,1,1,1,g,r,Internal,A,Arabic-Assimilated,Underived,5-DIM,N,N,Food & Drink,
554,Masculine,Masculine,4,1,1,1,k,l,External,A,Native,Agentives,5-POLY,Y,Y,Body Parts & Functions,NonSpec
555,Masculine,Masculine,3,1,1,1,g,z,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
556,Masculine,Neutral,4,1,1,1,m,ʃ,Internal,A,Native,Agentives,,Y,Y,Emotion,NonSpec
557,Masculine,Masculine,4,1,1,1,g,z,External,A,Native,Underived,,N,N,Body Parts & Functions,
558,Masculine,Neutral,3,1,1,1,d,b,External,A,Arabic-Assimilated,Underived,,Y,Y,Body Parts & Functions,NonSpec
559,Masculine,Masculine,3,2,1,1,s,r,External,A,Native,Underived,,N,N,Body Parts & Functions,
560,Masculine,Neutral,3,1,1,1,b,w,External,A,Native,Underived,,N,Y,Animals,NonSpec
561,Masculine,Masculine,4,1,1,1,m,j,External,A,Native,Action Nouns,5-UNIT,N,N,Physical Acts & Materials,
562,Masculine,Masculine,4,1,1,1,r,s,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
563,Masculine,Masculine,3,2,1,0,r,u,No Plural,A,Native,Underived,,N,N,Food & Drink,
564,Masculine,Masculine,4,1,1,1,r,j,External,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
565,Masculine,Masculine,3,1,1,0,ħ,u,No Plural,A,Native,Action Nouns,,N,N,Mind & Thought,
566,Masculine,Neutral,5,0,1,1,m,r,Internal,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
567,Masculine,Masculine,4,1,1,1,n,r,External,A,Arabic-Assimilated,Occupational Nouns,5-POLY,Y,Y,Possession & Trade,NonSpec
568,Masculine,Neutral,4,1,1,1,m,j,External,A,Native,Agentives,,Y,Y,Warfare & Hunting,NonSpec
569,Masculine,Masculine,4,1,1,1,s,l,Internal,A,Native,Underived,,N,N,Quantity & Number,
570,Masculine,Masculine,3,1,1,0,f,i,External,A,Arabic-Assimilated,Underived,,N,N,Quantity & Number,
571,Masculine,Neutral,4,1,1,1,ʕ,r,External,A,Arabic-Assimilated,Occupational Nouns,,Y,Y,Quantity & Number,NonSpec
572,Masculine,Masculine,3,1,1,0,s,a,Mixed,A,Native,Instrumental Nouns,,N,N,Clothing & Adornment,
573,Masculine,Neutral,4,1,1,1,ħ,n,External,A,Native,Underived,,Y,Y,Social Relations,NonSpec
574,Feminine,Feminine,4,1,1,1,s,n,External,A,Native,Underived,,N,N,Language & Music,
575,Masculine,Masculine,4,1,1,1,d,b,External,A,Native,Occupational Nouns,5-POLY,Y,Y,Social Relations,NonSpec
576,Masculine,Neutral,4,2,1,1,z,j,External,A,Native,Agentives,,N,Y,Spatial Relations,NonSpec
577,Feminine,Feminine,3,2,1,0,m,a,No Plural,A,Native,Underived,,N,N,Emotion,
578,Masculine,Neutral,4,1,1,1,n,l,External,A,Native,Agentives,,N,Y,Physical World,NonSpec
579,Feminine,Feminine,3,1,1,0,m,a,No Plural,A,Native,Action Nouns,,N,N,Agriculture & Vegetation,
580,Masculine,Neutral,2,2,0,1,u,ʁ,No Plural,A,Native,Underived,,N,N,Sense Perception,
581,Masculine,Neutral,3,1,1,0,ħ,i,Mixed,A,Native,Underived,,Y,Y,Mankind,NonSpec
582,Masculine,Neutral,4,2,1,1,b,r,External,A,Native,Underived,,Y,Y,Social Relations,NonSpec
583,Masculine,Masculine,3,1,1,1,d,r,External,A,Native,Underived,5-DIM,N,N,Physical World,
584,Masculine,Masculine,3,1,1,1,ʁ,j,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
585,Masculine,Masculine,3,2,1,1,b,z,Internal,A,Native,Underived,5-DIM,N,N,Physical World,
586,Masculine,Masculine,4,1,1,1,t,z,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Emotion,NonSpec
587,Masculine,Masculine,5,1,1,1,f,j,Internal,A,Native,Underived,5-DIM,N,N,Quantity & Number,
588,Masculine,Masculine,3,1,1,1,q,ʕ,External,A,Arabic-Assimilated,Underived,5-DIM,N,N,Quantity & Number,
589,Masculine,Masculine,4,1,1,1,k,d,Internal,A,Native,Underived,5-DIM,N,N,Quantity & Number,
590,Masculine,Masculine,4,1,1,1,g,m,Mixed,A,Native,Unknown,5-DIM,N,N,Physical Acts & Materials,
591,Masculine,Masculine,5,1,1,1,b,j,Internal,A,Native,Underived,5-DIM,N,N,Quantity & Number,
592,Feminine,Feminine,3,1,1,0,f,u,Internal,A,Native,Underived,1-AUG,N,N,Physical Acts & Materials,
593,Masculine,Masculine,3,1,1,1,χ,l,External,A,Native,Underived,,N,N,Body Parts & Functions,
594,Masculine,Masculine,4,1,1,1,q,s,External,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
595,Masculine,Neutral,4,1,1,1,l,ʁ,External,A,Native,Agentives,,N,Y,Sense Perception,NonSpec
596,Masculine,Masculine,3,0,1,1,z,g,Mixed,A,Native,Underived,,N,N,Agriculture & Vegetation,
597,Feminine,Feminine,3,1,1,1,h,j,Internal,A,Native,Underived,,N,Y,Animals,Female
598,Masculine,Neutral,3,1,1,1,g,w,External,A,Native,Underived,,Y,Y,Body Parts & Functions,NonSpec
599,Masculine,Neutral,4,1,1,1,s,n,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
600,Masculine,Masculine,2,2,1,0,b,i,External,A,Native,Underived,,N,Y,Animals,NonSpec
601,Masculine,Masculine,3,1,1,1,ʁ,b,Mixed,A,Native,Underived,5-DIM,N,N,Dwellings & Furniture,
602,Masculine,Masculine,3,1,1,0,q,u,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
603,Masculine,Masculine,4,1,1,1,g,r,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
604,Masculine,Masculine,4,0,1,1,s,s,Internal,A,Native,Underived,5-DIM,N,N,Clothing & Adornment,
605,Masculine,Neutral,4,1,1,1,m,m,External,A,Arabic-Assimilated,Underived,,Y,Y,Religion & Beliefs,NonSpec
606,Masculine,Neutral,4,1,1,1,ʕ,m,External,A,Arabic-Assimilated,Agentives,,Y,Y,Motion & Transportation,NonSpec
607,Masculine,Neutral,4,1,1,1,χ,m,External,A,Native,Underived,,Y,Y,Body Parts & Functions,NonSpec
608,Masculine,Masculine,4,1,1,1,g,l,Internal,A,Native,Underived,5-DIM,N,N,Dwellings & Furniture,
609,Masculine,Masculine,4,2,1,0,m,u,No Plural,A,Native,Underived,,N,N,Body Parts & Functions,
610,Feminine,Feminine,4,1,1,1,r,m,Mixed,A,Native,Underived,1-AUG,N,N,Food & Drink,
611,Masculine,Neutral,3,2,1,0,s,i,External,A,Arabic-Assimilated,Underived,,Y,Y,Social Relations,NonSpec
612,Feminine,Feminine,3,2,1,0,w,a,Mixed,A,Native,Underived,,Y,Y,Social Relations,Female
613,Masculine,Masculine,3,0,1,1,d,l,No Plural,A,Native,Underived,,N,N,Physical World,
614,Masculine,Masculine,3,1,1,0,s,i,Mixed,A,Native,Underived,,N,N,Animals,
615,Feminine,Feminine,4,2,1,1,m,s,External,A,Native,Action Nouns,,N,N,Emotion,
616,Masculine,Neutral,4,1,1,1,s,n,External,A,Native,Underived,,N,Y,Sense Perception,NonSpec
617,Feminine,Feminine,3,2,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Sense Perception,
618,Feminine,Feminine,2,1,1,0,d,u,No Plural,A,Native,Action Nouns,,N,N,Sense Perception,
619,Masculine,Neutral,4,1,1,1,m,g,External,A,Native,Underived,,Y,Y,Social Relations,NonSpec
620,Masculine,Neutral,4,1,1,1,r,l,External,A,Arabic-Assimilated,Agentives,,Y,Y,Social Relations,NonSpec
621,Masculine,Neutral,4,2,1,1,b,l,External,A,Native,Underived,,N,Y,Emotion,NonSpec
622,Masculine,Neutral,4,1,1,1,n,r,External,A,Native,Agentives,,N,Y,Sense Perception,NonSpec
623,Masculine,Neutral,3,1,1,1,m,r,External,A,Native,Action Nouns,,Y,Y,Sense Perception,NonSpec
624,Masculine,Masculine,3,1,1,1,m,r,External,A,Native,Agentives,,Y,Y,Social Relations,Male
625,Feminine,Feminine,4,1,1,1,w,s,External,A,Native,Underived,,N,N,Food & Drink,
626,Masculine,Masculine,3,1,1,0,m,u,Mixed,A,Native,Action Nouns,,N,N,Food & Drink,
627,Masculine,Masculine,3,1,1,0,ʁ,i,Mixed,A,Native,Underived,,N,N,Spatial Relations,
628,Masculine,Masculine,3,1,1,0,m,u,Internal,A,Native,Action Nouns,,N,N,Physical World,
629,Masculine,Neutral,4,1,1,1,ħ,z,Internal,A,Native,Underived,,Y,Y,Body Parts & Functions,NonSpec
630,Masculine,Neutral,4,1,1,1,t,z,Internal,A,Native,Underived,,Y,Y,Body Parts & Functions,NonSpec
631,Masculine,Neutral,5,2,1,1,ħ,z,External,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
632,Feminine,Feminine,3,2,1,0,w,i,Mixed,A,Native,Underived,,N,N,Possession & Trade,
633,Masculine,Masculine,4,1,1,1,m,l,External,A,Native,Underived,,N,N,Sense Perception,
634,Feminine,Feminine,3,1,1,1,g,j,External,A,Native,Underived,,N,N,Food & Drink,
635,Masculine,Neutral,3,0,1,1,ʁ,n,Mixed,A,Native,Underived,,Y,Y,Religion & Beliefs,NonSpec
636,Masculine,Masculine,3,1,1,1,m,z,External,A,Native,Underived,,N,Y,Animals,NonSpec
637,Masculine,Masculine,4,2,1,1,f,j,External,A,Native,Underived,,N,Y,Animals,NonSpec
638,Masculine,Masculine,4,2,1,1,s,l,External,A,Native,Agentives,,N,Y,Animals,NonSpec
639,Masculine,Masculine,3,1,1,0,s,u,Internal,A,Native,Underived,,N,N,Sense Perception,
640,Masculine,Masculine,2,2,1,0,m,u,Internal,A,Native,Underived,,N,N,Sense Perception,
641,Masculine,Masculine,4,0,1,1,z,r,No Plural,A,Native,Action Nouns,,N,N,Religion & Beliefs,
642,Masculine,Masculine,4,1,1,1,m,ʁ,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
643,Feminine,Feminine,3,1,1,1,w,d,External,A,Arabic-Assimilated,Underived,1-AUG,N,N,Dwellings & Furniture,
644,Masculine,Masculine,4,1,1,1,s,ʁ,External,A,Native,Underived,5-POLY,Y,Y,Physical Acts & Materials,NonSpec
645,Masculine,Neutral,5,2,1,0,n,u,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
646,Masculine,Masculine,4,1,1,1,z,j,External,A,Native,Underived,,N,N,Agriculture & Vegetation,
647,Masculine,Masculine,4,1,1,1,g,m,External,A,Native,Underived,,N,Y,Animals,NonSpec
648,Feminine,Feminine,4,2,1,0,m,u,Mixed,A,Arabic-Assimilated,Instrumental Nouns,,N,N,Body Parts & Functions,
649,Feminine,Feminine,4,1,1,1,g,l,Internal,A,Native,Underived,1-AUG,N,N,Physical Acts & Materials,
650,Masculine,Masculine,4,1,1,1,r,m,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
651,Masculine,Neutral,4,1,1,1,m,l,Internal,A,Native,Agentives,,Y,Y,Possession & Trade,NonSpec
652,Masculine,Masculine,3,1,1,1,ʁ,m,No Plural,A,Native,Underived,,N,N,Food & Drink,
653,Masculine,Masculine,4,1,1,1,g,f,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
654,Masculine,Masculine,4,0,1,1,s,s,Internal,A,Native,Underived,5-DIM,N,N,Possession & Trade,
655,Masculine,Masculine,4,1,1,1,b,z,External,A,Native,Underived,,N,N,Body Parts & Functions,
656,Masculine,Masculine,2,1,1,1,w,l,Mixed,A,Native,Underived,,N,N,Language & Music,
657,Masculine,Masculine,4,1,1,1,χ,ʃ,External,A,Native,Underived,,N,N,Religion & Beliefs,
658,Masculine,Masculine,4,1,1,1,ʃ,ħ,External,A,Native,Underived,5-DIM,N,N,Motion & Transportation,
659,Masculine,Masculine,3,1,1,1,z,j,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
660,Feminine,Feminine,3,2,1,1,m,r,Internal,A,Native,Underived,,N,N,Social Relations,
661,Masculine,Masculine,4,1,1,1,f,ʃ,No Plural,A,Native,Underived,,N,N,Food & Drink,
662,Masculine,Masculine,3,2,1,1,h,r,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
663,Masculine,Masculine,4,1,1,1,s,d,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Animals,NonSpec
664,Masculine,Masculine,4,1,1,1,s,ʁ,External,A,Arabic-Assimilated,Occupational Nouns,5-POLY,Y,Y,Possession & Trade,NonSpec
665,Feminine,Feminine,2,2,1,0,f,a,No Plural,A,Native,Underived,,N,N,Food & Drink,
666,Masculine,Masculine,4,1,1,1,b,d,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
667,Masculine,Masculine,3,2,1,0,b,a,Mixed,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
668,Masculine,Masculine,3,2,1,0,b,u,Internal,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
669,Masculine,Masculine,5,2,1,1,s,m,External,A,Native,Action Nouns,,N,N,Mind & Thought,
670,Masculine,Neutral,4,1,1,1,g,d,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
671,Masculine,Neutral,4,1,1,1,s,r,Mixed,A,Native,Underived,,N,Y,Animals,NonSpec
672,Masculine,Neutral,4,2,1,0,m,u,Internal,A,Arabic-Assimilated,Agentives,,Y,Y,Emotion,NonSpec
673,Feminine,Feminine,4,0,1,1,s,l,Internal,A,Native,Underived,,N,N,Physical Acts & Materials,
674,Masculine,Masculine,4,1,1,1,ʁ,r,Internal,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
675,Feminine,Feminine,5,2,1,0,d,i,Mixed,A,Native,Underived,,N,N,Dwellings & Furniture,
676,Masculine,Masculine,2,1,1,1,d,r,External,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
677,Masculine,Masculine,2,1,1,0,z,u,Mixed,A,Native,Underived,5-DIM,N,N,Physical World,
678,Masculine,Masculine,4,0,1,1,s,d,Internal,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
679,Masculine,Neutral,3,1,1,1,t,r,External,A,Native,Underived,,N,Y,Animals,NonSpec
680,Masculine,Masculine,4,1,1,1,s,m,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Physical Acts & Materials,
681,Masculine,Masculine,4,2,1,1,s,k,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Physical Acts & Materials,
682,Masculine,Masculine,5,1,1,1,s,z,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
683,Feminine,Feminine,4,2,1,1,b,z,Internal,A,Native,Underived,1-AUG,N,N,Physical Acts & Materials,
684,Masculine,Masculine,4,1,1,1,g,m,Internal,A,Native,Underived,5-DIM,N,N,Physical Acts & Materials,
685,Masculine,Masculine,3,2,1,1,z,r,External,A,Native,Underived,,N,N,Physical World,
686,Masculine,Masculine,4,2,1,0,s,i,Mixed,A,Native,Action Nouns,,N,N,Law & Judgement,
687,Masculine,Masculine,5,2,1,1,s,j,External,A,Native,Action Nouns,,N,N,Law & Judgement,
688,Feminine,Feminine,6,1,1,1,b,m,No Plural,A,Native,Underived,,N,N,Agriculture & Vegetation,
689,Masculine,Masculine,3,2,1,1,b,l,External,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
690,Feminine,Feminine,4,1,1,1,f,n,Internal,A,Native,Underived,1-AUG,N,N,Food & Drink,
691,Feminine,Feminine,3,1,1,0,r,i,Internal,A,Native,Underived,1-AUG,N,N,Food & Drink,
692,Masculine,Masculine,3,1,1,1,n,r,External,A,Native,Underived,,N,N,Physical World,
693,Masculine,Masculine,4,1,1,1,r,ʃ,External,A,Native,Underived,,N,N,Physical World,
694,Masculine,Neutral,3,2,1,1,n,f,Internal,A,Native,Agentives,,Y,Y,Body Parts & Functions,NonSpec
695,Feminine,Feminine,4,1,1,0,l,a,Mixed,A,Arabic-Assimilated,Instrumental Nouns,,N,N,Dwellings & Furniture,
696,Masculine,Masculine,4,1,1,1,n,m,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Language & Music,NonSpec
697,Masculine,Masculine,3,0,1,1,s,m,Mixed,A,Native,Underived,5-DIM,N,Y,Animals,NonSpec
698,Masculine,Masculine,3,0,1,1,d,r,Mixed,A,Native,Underived,5-DIM,N,N,Body Parts & Functions,
699,Masculine,Neutral,5,2,1,1,g,j,External,A,Native,Underived,,N,Y,Physical World,NonSpec
700,Masculine,Masculine,4,2,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Animals,
701,Masculine,Masculine,4,2,1,1,m,j,External,A,Native,Agentives,5-POLY,Y,Y,Motion & Transportation,NonSpec
702,Masculine,Neutral,4,1,1,1,g,b,External,A,Arabic-Assimilated,Underived,,Y,Y,Motion & Transportation,NonSpec
703,Masculine,Masculine,4,1,1,1,n,j,External,A,Native,Agentives,5-POLY,Y,Y,Warfare & Hunting,NonSpec
704,Masculine,Masculine,4,1,1,1,g,r,External,A,Native,Underived,5-DIM,N,N,Spatial Relations,
705,Masculine,Masculine,4,1,1,1,ʒ,l,External,A,Native,Underived,5-DIM,N,N,Agriculture & Vegetation,
706,Feminine,Feminine,3,1,1,0,n,a,No Plural,A,Native,Action Nouns,,N,N,Physical World,
707,Masculine,Masculine,3,0,1,1,n,r,Mixed,A,Native,Underived,,N,N,Animals,
708,Masculine,Masculine,3,1,1,1,ʒ,ʕ,External,A,Native,Underived,,N,Y,Animals,NonSpec
709,Masculine,Masculine,3,1,1,1,z,z,Internal,A,Native,Underived,,N,Y,Animals,NonSpec
710,Masculine,Masculine,3,2,1,0,χ,u,No Plural,A,Native,Action Nouns,,N,N,Time,
711,Masculine,Masculine,4,1,1,1,n,w,No Plural,A,Native,Action Nouns,,N,N,Emotion,
712,Masculine,Masculine,4,1,1,1,ʁ,r,External,A,Arabic-Assimilated,Underived,,N,N,Physical World,
713,Masculine,Masculine,4,1,1,1,g,r,Internal,A,Native,Underived,,N,N,Physical World,
714,Masculine,Neutral,4,1,1,1,k,w,External,A,Native,Underived,,N,Y,Animals,NonSpec
715,Masculine,Neutral,4,2,1,0,m,u,Internal,A,Native,Agentives,,N,Y,Quantity & Number,NonSpec
716,Masculine,Neutral,4,1,1,1,m,r,Internal,A,Native,Agentives,,Y,Y,Mankind,NonSpec
717,Masculine,Masculine,4,1,1,1,r,l,No Plural,A,Native,Action Nouns,,N,N,Possession & Trade,
718,Feminine,Feminine,3,2,1,1,m,r,Internal,A,Native,Underived,,N,N,Law & Judgement,
719,Masculine,Masculine,3,1,1,1,m,j,No Plural,A,Native,Action Nouns,,N,N,Possession & Trade,
720,Masculine,Masculine,3,1,1,1,m,z,No Plural,A,Native,Action Nouns,,N,N,Possession & Trade,
721,Masculine,Masculine,4,2,1,0,s,i,No Plural,A,Native,Action Nouns,,N,N,Motion & Transportation,
