y_analysisGender2Category,y_analysisGender3Category,analysisHasSecondaryMorphYN,analysisMutability,m_analysisPluralPattern,m_analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,p_analysisThemeCV,p_analysisThemeFinalSegment,p_analysisThemeInitialSegment,s_lexiconAnimateYN,lexiconGlossEnglish,lexiconGlossFrench,s_lexiconHumanYN,m_lexiconLoanwordSource,s_lexiconSemanticField,s_lexiconSexGender,recordID,m_wordDerivedCategory,wordLexBitVector,m_wordNumSemanticCategory
Masculine,Neutral,,Neutral,External,A,Y,nnurʃif,CCVCCVC,f,n,Y,"bored, restless person, someone with breathing difficulty","ennuyé, inquiet",Y,Native,Mind & Thought,NonSpec,730,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,mlhuf,CCCVC,f,m,Y,greedy,avide,Y,Arabic-Assimilated,Possession & Trade,NonSpec,739,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!mmulz,CCVCC,z,m,N,sprain,entorse,N,Native,Body Parts & Functions,,740,Stative Noun - WIP,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nkʃum,CCCVC,m,n,N,entrance,entrée,N,Native,Dwellings & Furniture,,741,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,kʃʃum,CCCVC,m,k,N,input (action),entrée (action),N,Native,Motion & Transportation,,742,Action Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!tmmaʕ,CCCVC,ʕ,t,Y,envious,envieux,Y,Arabic-Assimilated,Emotion,NonSpec,748,Agentives,1111-1111,5-POLY
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!sifd,CVCC,d,s,N,"sending, mail",envoi,N,Native,Motion & Transportation,,749,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,External,A,Y,zuraj,CVCVC,j,z,Y,"thick, heavy (person or thing)","épais, gros",Y,Native,Quantity & Number,NonSpec,752,Agentives,1111-1111,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,zuri,CVCV,i,z,N,thickness,épaisseur,N,Native,Quantity & Number,,753,Stative Noun - WIP,0000-1100,
Feminine,Feminine,,Fixed-Fem,External,A,N,zlf,CCC,f,z,N,tassel (like for corn),épi,N,Native,Body Parts & Functions,,757,Underived,0000-1111,
Feminine,Feminine,,Fixed-Fem,External,A,N,zlaf,CCVC,f,z,N,bowl,bol,N,Native,Body Parts & Functions,,758,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!ʕttar,CCCVC,r,ʕ,Y,"grocer, herbalist, spice seller, among other things","épicier, herboriste",Y,Arabic-Assimilated,Possession & Trade,NonSpec,759,Underived,1111-1111,5-POLY
Masculine,Masculine,Yes,Variable-Masc,External,A,N,snnan,CCCVC,n,s,N,spine,épine,N,Native,Body Parts & Functions,,760,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!zzlum,CCCVC,m,z,N,peeling,épluchage,N,Native,Physical Acts & Materials,,761,Action Nouns,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!krrad,CCCVC,d,k,N,peel,épluchure,N,Native,Physical Acts & Materials,,763,Action Nouns,1111-1111,5-UNIT
Masculine,Masculine,,Fixed-Masc,Internal,A,N,zmz,CCC,z,z,N,"time, mood",époque,N,Native,Time,,765,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,zraw,CCVC,w,z,N,delousing,épouillage,N,Native,Body Parts & Functions,,766,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,ʁʷlil,CCVC,l,ʁ,Y,snail,escargot,Y,Native,Religion & Beliefs,NonSpec,772,Underived,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,ʁʷndaf,CCCVC,f,ʁ,Y,"swindler, hustler","escroc, arnaqueur",Y,Native,Possession & Trade,NonSpec,774,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ssufʁ,CCVCC,ʁ,s,Y,swarm out of the hive,essaim sortant de la ruche,N,Native,Animals,NonSpec,776,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,!nʕdub,CCCVC,b,n,Y,crippled (person or animal),estropié,Y,Arabic-Assimilated,Body Parts & Functions,NonSpec,780,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,fsar,CCVC,r,f,N,display,étalage,N,Native,Sense Perception,,782,Action Nouns,1100-0000,
Feminine,Feminine,Yes,Variable-Fem,Mixed,A,N,mda,CCV,a,m,N,pond,étang,N,Native,Physical World,,784,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,msad,CCVC,d,m,N,state in which something is sharpened,état de ce qui est aiguisé,N,Native,Physical Acts & Materials,,786,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,lluqʒu,CCVCCV,u,l,N,state which is dented,état de ce qui est cabossé,N,Native,Physical Acts & Materials,,787,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,slaw,CCVC,w,s,N,state which faded,état de ce qui est fané,N,Native,Physical Acts & Materials,,788,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,gusmu,CVCCV,u,g,N,state of someone who is sated,état de quelqu'un qui est repu,N,Native,Emotion,,789,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,!mrruj,CCCVC,j,m,N,spark,étincelle,N,Native,Physical Acts & Materials,,793,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!brajʃ,CCVCC,ʃ,b,N,woolen cloth,étoffe de laine,N,Native,Clothing & Adornment,,794,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,External,A,N,ʁufi,CVCV,i,ʁ,N,suffocation,étouffement,N,Native,Body Parts & Functions,,798,Action Nouns,0000-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,sufʁ,CVCC,ʁ,s,N,"exclusion, budding","exclusion, bourgeonnement",N,Native,Agriculture & Vegetation,,933,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,mzwug,CCCVC,g,m,Y,exile,exilé,Y,Native,Social Relations,NonSpec,934,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,χsaj,CCVC,j,χ,N,extinction,extinction,N,Native,Time,,936,Underived,1100-0000,
Masculine,Neutral,,Neutral,External,A,Y,mʕgaz,CCCVC,z,m,Y,lazy (person),fainéant,Y,Arabic-Assimilated,Emotion,NonSpec,937,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,snuntf,CCVCCC,f,s,N,"hurt, injury",faire mal à une blessure,N,Native,Body Parts & Functions,,948,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!nggad,CCCVC,d,n,N,soaking,fait de tremper,N,Native,Physical Acts & Materials,,959,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,External,A,Y,mslaw,CCCVC,w,m,Y,withered,fané,N,Native,Spatial Relations,NonSpec,960,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Mixed,A,Y,zʕajti,CCVCCV,i,z,Y,braggart,fanfaron,Y,Arabic-Assimilated,Emotion,NonSpec,961,Agentives,1111-1111,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,ʁzu,CCV,u,ʁ,N,fantasy,fantazia,N,Native,Mind & Thought,,962,Unknown,0000-1100,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!ʒʒakrar,CCVCCVC,r,ʒ,N,burden,fardeau,N,Native,Emotion,,963,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ggʷrn,CCCC,n,g,N,flour,farine,N,Native,Food & Drink,,964,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,summr,CVCCC,r,s,N,"relaxation, sunshine","farniente, insolation",N,Native,Emotion,,965,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,External,A,Y,nmgar,CCCVC,r,n,Y,reaper (agriculture),faucheur,Y,Native,Agriculture & Vegetation,NonSpec,968,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,smmawd,CCCVCC,d,s,N,sickle,faucille,N,Native,Agriculture & Vegetation,,970,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,nfluk,CCCVC,k,n,N,felucca,felouque,N,Native,Motion & Transportation,,971,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,External,A,Y,mʁar,CCVC,r,m,Y,woman,femme,Y,Native,Mankind,Female,972,Underived,0000-1111,
Feminine,Feminine,,Fixed-Fem,External,A,Y,maziʁ,CVCVC,ʁ,m,Y,"Amazigh woman, Amazigh language","femme amazighe, langue amazighe",Y,Native,Mankind,Female,973,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,sttiʁ,CCCVC,ʁ,s,N,"crack, crack","fente, fissure",N,Native,Physical World,,975,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,qʒʒuħ,CCCVC,ħ,q,N,scrap,ferraille,N,Native,Quantity & Number,,980,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ħʃtaw,CCCVC,w,ħ,N,wisp,fétu,N,Native,Quantity & Number,,982,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!frad,CCVC,d,f,N,foliage,feuillage,N,Native,Agriculture & Vegetation,,983,Underived,1100-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,fraw,CCVC,w,f,N,sheet,feuille,N,Native,Language & Music,,984,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!brwag,CCCVC,g,b,N,turnip greens,feuilles de navet,N,Native,Food & Drink,,985,Underived,1100-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,baw,CVC,w,b,N,bean,fève,N,Native,Food & Drink,,987,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,Internal,A,N,!zrzi,CCCV,i,z,N,fibula,fibule,N,Native,Body Parts & Functions,,989,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,qurri,CVCCV,i,q,N,fig,figue,N,Native,Food & Drink,,992,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,kkʷrmis,CCCCVC,s,k,N,green fig,figue verte,N,Native,Food & Drink,,993,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,External,A,N,buzzig,CVCCVC,g,b,N,green fig,figue verte,N,Native,Food & Drink,,994,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,knari,CCVCV,i,k,N,"prickly pear, cactus fruit",figuier de barbarie,N,Native,Agriculture & Vegetation,,997,Underived,1100-1111,5-UNIT
Feminine,Feminine,,Fixed-Fem,External,A,N,staj,CCVC,j,s,N,"filter, strainer","filtre, passoire",N,Native,Physical Acts & Materials,,1002,Instrumental Nouns,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,ʒʒig,CCVC,g,ʒ,N,flower,fleur,N,Native,Agriculture & Vegetation,,1008,Underived,1111-1111,5-UNIT
Masculine,Neutral,,Neutral,External,A,Y,sdasi,CCVCV,i,s,Y,flute with six holes,flûte à six trous,N,Arabic-Assimilated,Language & Music,NonSpec,1011,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,χχlu,CCCV,u,χ,N,madness,folie,N,Native,Mind & Thought,,1013,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,nufl,CVCC,l,n,N,madness,folie,N,Native,Mind & Thought,,1014,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,fssaj,CCCVC,j,f,N,"cast, melting ...",fonte ...,N,Native,Physical Acts & Materials,,1017,Action Nouns,1100-0000,
Masculine,Neutral,,Neutral,External,A,Y,mzil,CCVC,l,m,Y,black-smith,"forgeron, maréchalferrant",Y,Native,Physical Acts & Materials,NonSpec,1020,Underived,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,!gʷdi,CCV,i,g,N,ditch,fossé,N,Native,Physical World,,1021,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,mχlaw,CCCVC,w,m,Y,crazy,fou,N,Native,Mind & Thought,NonSpec,1022,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,nafal,CVCVC,l,n,Y,crazy,fou,N,Native,Mind & Thought,NonSpec,1023,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,zfl,CCC,l,z,N,whip,fouet,N,Native,Physical Acts & Materials,,1024,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,frran,CCCVC,n,f,N,oven,four,N,Arabic-Assimilated,Food & Drink,,1026,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,farnu,CVCCV,u,f,N,oven,four,N,Arabic-Assimilated,Food & Drink,,1027,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,Internal,A,N,ʁruʃ,CCVC,ʃ,ʁ,N,fork,fourche,N,Native,Food & Drink,,1029,Underived,0000-1111,
Feminine,Feminine,Yes,Variable-Fem,Internal,A,N,ʃawʃ,CVCC,ʃ,ʃ,N,"fork, slingshot, branching part of a tree, farmer tool for straw with two pins",fourche pour lance-pierres,N,Native,Physical Acts & Materials,,1030,Underived,1111-1111,1-AUG
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,bawʃ,CVCC,ʃ,b,N,fork,fourche,N,Native,Food & Drink,,1031,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,ʒwaj,CCVC,j,ʒ,N,scabbard,fourreau,N,Native,Warfare & Hunting,,1033,Agentives,1100-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,mrzu,CCCV,u,m,Y,broken,fracturé,N,Native,Physical Acts & Materials,NonSpec,1035,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,zuzwu,CVCCV,u,z,N,freshness,fraîcheur,N,Native,Time,,1036,Action Nouns,1100-0000,
Feminine,Feminine,,Fixed-Fem,Mixed,A,N,wnza,CCCV,a,w,N,fringe,frange,N,Native,Spatial Relations,,1037,Underived,0000-1111,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,!zag,CVC,g,z,N,fringe,frange,N,Native,Spatial Relations,,1038,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,Internal,A,N,gamrru,CVCCCV,u,g,Y,hornet,frelon,N,Native,Animals,NonSpec,1041,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,kʷrram,CCCVC,m,k,N,cold,froid,N,Native,Sense Perception,,1043,Action Nouns,1100-0000,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,smmid,CCCVC,d,s,N,cold,froid,N,Native,Sense Perception,,1044,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,ħukku,CVCCV,u,ħ,N,friction or rubbing,frottement,N,Native,Physical Acts & Materials,,1049,Action Nouns,1111-1111,5-UNIT
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,blʁuʃ,CCCVC,ʃ,b,N,green fruit of the carob,fruit vert du caroubier,N,Native,Food & Drink,,1053,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,rula,CVCV,a,r,N,escape,fuite,N,Native,Motion & Transportation,,1054,Action Nouns,0000-1100,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,kmmaj,CCCVC,j,k,Y,smoker,fumeur,Y,Native,Food & Drink,NonSpec,1056,Agentives,1111-1111,5-POLY
Masculine,Neutral,,Neutral,Mixed,A,Y,mkajfi,CCVCCV,i,m,Y,smoker of kif,fumeur de kif,Y,Native,Food & Drink,NonSpec,1057,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,sbajsi,CCVCCV,i,s,Y,pipe smoker (kif),fumeur de pipe (kif),Y,Native,Food & Drink,NonSpec,1058,Abnakliy,1111-1111,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,mazir,CVCVC,r,m,N,manure,fumier,N,Native,Agriculture & Vegetation,,1059,Underived,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,!mʃttr,CCCCC,r,m,Y,smart,futé,Y,Arabic-Assimilated,Mind & Thought,NonSpec,1061,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,mrwl,CCCC,l,m,Y,fugitive,fuyard,Y,Native,Social Relations,NonSpec,1062,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,skarkaz,CCVCCVC,z,s,N,gaffe,gaffe,N,Native,Language & Music,,1063,Instrumental Nouns,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,External,A,N,mssggar,CCCCCVC,r,m,N,pledge,gage,N,Native,Social Relations,,1064,Underived,1111-0000,
Feminine,Feminine,,Fixed-Fem,External,A,N,!gʷris,CCVC,s,g,N,pancake,galette,N,Native,Food & Drink,,1065,Underived,0000-1111,
Masculine,Masculine,,Fixed-Masc,External,A,N,wlal,CCVC,l,w,N,ganglion,ganglion,N,Native,Body Parts & Functions,,1067,Underived,1111-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,fruχ,CCVC,χ,f,Y,boy/girl,garçon/fille,Y,Native,Mankind,NonSpec,1068,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,ʕjjal,CCCVC,l,ʕ,Y,boy,garçonnet,Y,Native,Mankind,NonSpec,1069,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,ʕssas,CCCVC,s,ʕ,Y,guardian,gardien,Y,Native,Warfare & Hunting,NonSpec,1071,Occupational Nouns,1111-1111,5-POLY
Masculine,Neutral,,Neutral,External,A,Y,ndaf,CCVC,f,n,Y,guardian,gardien,Y,Native,Warfare & Hunting,NonSpec,1072,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,mazzal,CVCCVC,l,m,Y,"keeper, broker","gardien, courtier",Y,Native,Possession & Trade,NonSpec,1074,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,External,A,N,!zwaj,CCVC,j,z,N,"shaking down (e.g., separating grain from straw)",gaulage,N,Native,Agriculture & Vegetation,,1076,Action Nouns,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,!mzwaj,CCCVC,j,m,Y,"person who separates grain from straw; tree shaker for fruit (e.g., olives)",gauleur,Y,Native,Agriculture & Vegetation,NonSpec,1078,Agentives,1111-1111,
Masculine,Neutral,,Neutral,Internal,A,Y,!znkʷd,CCCC,d,z,Y,gazelle,gazelle,N,Native,Animals,NonSpec,1079,Underived,1111-1111,
Masculine,Neutral,,Neutral,Mixed,A,Y,dggʷal,CCCVC,l,d,Y,"in-law relation (e.g., son-in-law, mother-in-law)",gendre,Y,Native,Mankind,NonSpec,1082,Underived,1111-1111,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,nnukmu,CCVCCV,u,n,N,"discomfort, hustle, rush","gêne, bousculade",N,Native,Motion & Transportation,,1083,Action Nouns,0000-1100,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,fud,CVC,d,f,N,knee,genou,N,Native,Body Parts & Functions,,1084,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,madaʁ,CVCVC,ʁ,m,N,"pile of sheaves of wheat after harvest (or other grain, e.g., corn)",gerbier,N,Native,Agriculture & Vegetation,,1085,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ffursl,CCVCCC,l,f,N,"chapped skin on humans, due to cold",gerçure,N,Native,Body Parts & Functions,,1086,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,hakur,CVCVC,r,h,N,gizzard,gésier,N,Native,Body Parts & Functions,,1088,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!dmmil,CCCVC,l,d,N,slap,giffle,N,Native,Physical Acts & Materials,,1089,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,mrriq,CCCVC,q,m,N,slap,gifle,N,Native,Physical Acts & Materials,,1091,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!tbbil,CCCVC,l,t,N,slap,gifle,N,Native,Physical Acts & Materials,,1092,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,kʷba,CCV,a,k,N,lap (waist to knees),giron,N,Native,Body Parts & Functions,,1096,Underived,1111-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,mgru,CCCV,u,m,Y,gleaner,glaneur,Y,Native,Agriculture & Vegetation,NonSpec,1099,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,lʁʷrraf,CCCCVC,f,l,N,cup,gobelet,N,Native,Food & Drink,,1101,Underived,1111-1111,5-DIM
Feminine,Feminine,Yes,Variable-Fem,External,A,N,gʷmim,CCVC,m,g,N,mouthful,gorgée,N,Native,Quantity & Number,,1105,Underived,1111-1111,1-AUG
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,gllus,CCCVC,s,g,N,cudgel,gourdin,N,Native,Warfare & Hunting,,1108,Underived,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,External,A,N,saddam,CVCCVC,m,s,N,gutter,gouttière,N,Native,Dwellings & Furniture,,1111,Instrumental Nouns,0000-1111,
Feminine,Feminine,,Fixed-Fem,Internal,A,N,!zni,CCV,i,z,N,grain,grain,N,Native,Food & Drink,,1112,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,sddul,CCCVC,l,s,N,large cover,grand couvercle,N,Native,Agriculture & Vegetation,,1117,Instrumental Nouns,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,duħan,CVCVC,n,d,N,large mill,grand moulin,N,Native,Agriculture & Vegetation,,1119,Underived,1111-1111,5-DIM
Feminine,Feminine,Yes,Variable-Fem,Internal,A,N,ʁruʃ,CCVC,ʃ,ʁ,N,large fork,grande fourche,N,Native,Agriculture & Vegetation,,1123,Underived,1111-1111,1-AUG
Masculine,Masculine,,Fixed-Masc,External,A,N,kʷmmaz,CCCVC,z,k,N,scratching,grattement,N,Native,Physical Acts & Materials,,1129,Action Nouns,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,gadir,CVCVC,r,g,N,fortified granary,grenier fortifié,N,Native,Agriculture & Vegetation,,1130,Underived,1111-1111,5-DIM
Masculine,Masculine,,Fixed-Masc,Internal,A,N,gru,CCV,u,g,Y,frog,grenouille,N,Native,Animals,NonSpec,1131,Underived,1111-0000,
Masculine,Neutral,,Neutral,Mixed,A,Y,kajja,CVCCV,a,k,Y,"thrush, black boy (type of bird)","grive, négrillon",N,Native,Animals,NonSpec,1139,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,!dnaj,CCVC,j,d,Y,"large, thick","gros, épais",N,Native,Quantity & Number,NonSpec,1141,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,Internal,A,N,!ʃfri,CCCV,i,ʃ,N,big thorn,grosse épne,N,Native,Agriculture & Vegetation,,1142,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,bbankik,CCVCCVC,k,b,N,boulder,grosse pierre,N,Native,Physical World,,1145,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,!kabar,CVCVC,r,k,N,"group, convoy","groupe, convoi",N,Native,Motion & Transportation,,1148,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,Mixed,A,N,saka,CVCV,a,s,N,ford,gué,N,Native,Physical World,,1150,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,External,A,N,mdaj,CCVC,j,m,N,ambush,guet-appens,N,Native,Warfare & Hunting,,1151,Action Nouns,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,χmum,CCVC,m,χ,N,mouth,gueule,N,Native,Body Parts & Functions,,1153,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,gamum,CVCVC,m,g,N,mouth,gueule,N,Native,Body Parts & Functions,,1154,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Mixed,A,N,qʃʃab,CCCVC,b,q,N,long habit,habit long,N,Native,Mind & Thought,,1156,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,External,A,Y,mzdaʁ,CCCVC,ʁ,m,Y,inhabitant,habitant,Y,Native,Social Relations,NonSpec,1157,Agentives,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,nmjur,CCCVC,r,n,Y,used to,habitué,N,Native,Mind & Thought,NonSpec,1162,Agentives,1111-1111,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ʃaqqur,CVCCVC,r,ʃ,N,ax,hache,N,Native,Physical Acts & Materials,,1163,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ħajk,CVCC,k,ħ,N,haik,haïk,N,Native,Clothing & Adornment,,1164,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!dwwar,CCCVC,r,d,N,hamlet,hameau,N,Native,Social Relations,,1166,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,Mixed,A,Y,!ħurri,CVCCV,i,ħ,Y,person who is free or pure,"libre, pûr",N,Arabic-Assimilated,Emotion,NonSpec,1169,Underived,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,saʁur,CVCVC,r,s,N,dry grass,herbe sèche,N,Native,Agriculture & Vegetation,,1172,Instrumental Nouns,1100-0000,
Masculine,Neutral,,Neutral,Internal,A,Y,mkkasu,CCCVCV,u,m,Y,heir,héritier,Y,Native,Possession & Trade,NonSpec,1176,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,External,A,Y,rgaz,CCVC,z,r,Y,man,homme,Y,Native,Mankind,Male,1180,Underived,1111-0000,
Masculine,Neutral,,Neutral,External,A,Y,!sddaħmar,CCCVCCVC,r,s,Y,black man (pejorative),homme de couleur (péj.),Y,Native,Social Relations,NonSpec,1181,Underived,1111-1111,
Masculine,Neutral,,Neutral,External,A,Y,maziʁ,CVCVC,ʁ,m,Y,"free, Berber","homme libre, berbère",Y,Native,Social Relations,NonSpec,1184,Underived,1111-1111,
Feminine,Feminine,,Fixed-Fem,No Plural,A,N,!ħuttu,CVCCV,u,ħ,N,hiccup,hoquet,N,Native,Body Parts & Functions,,1185,Underived,0000-1100,
Feminine,Feminine,Yes,Variable-Fem,External,A,N,madir,CVCVC,r,m,N,hoe,houe,N,Native,Agriculture & Vegetation,,1188,Underived,1111-1111,1-AUG
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ħʃuʃ,CCVC,ʃ,ħ,N,hut,hutte,N,Native,Dwellings & Furniture,,1190,Underived,1111-1111,5-DIM
Masculine,Neutral,,Neutral,Internal,A,Y,mdhuʃ,CCCVC,ʃ,m,Y,impressionable person,impressionnable,Y,Arabic-Assimilated,Emotion,NonSpec,1192,Agentives,1111-1111,
Masculine,Masculine,,Fixed-Masc,No Plural,A,N,!ʃrad,CCVC,d,ʃ,N,incision on a body,incision,N,Native,Body Parts & Functions,,1193,Action Nouns,1100-0000,
